GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29
0500000US47153,47153,"Sequatchie County, Tennessee",5843,422,466,135,437,256,4940,415,4889,445,376,124,389,249,4124,419,650,167,31,27,13,24,606,171,14,24,14,24,0,19,0,19,0,19,0,19,0,19,0,19,22,30,0,19,0,19,22,30,268,106,45,51,35,54,188,79
0500000US47155,47155,"Sevier County, Tennessee",44641,898,4169,637,5095,727,35377,1247,34568,1034,2517,398,3641,505,28410,1085,6710,725,1100,343,985,324,4625,608,175,109,54,51,5,10,116,82,600,203,82,64,188,137,330,171,453,201,196,143,84,55,173,88,2135,447,220,139,192,117,1723,417
0500000US47157,47157,"Shelby County, Tennessee",422518,2947,36676,1418,33386,1736,352456,3661,352348,3440,25363,1208,24804,1430,302181,3916,39926,1958,6673,743,5291,702,27962,1589,5559,518,1526,258,1023,235,3010,374,5288,527,1094,238,766,306,3428,431,6141,709,1054,281,924,297,4163,631,13256,885,966,241,578,137,11712,831
0500000US47159,47159,"Smith County, Tennessee",8285,389,441,138,657,178,7187,451,7164,365,379,129,531,169,6254,425,886,187,59,44,92,44,735,168,0,19,0,19,0,19,0,19,37,25,0,19,10,14,27,20,40,28,0,19,10,16,30,23,158,57,3,5,14,21,141,53
0500000US47161,47161,"Stewart County, Tennessee",5116,353,417,161,263,107,4436,378,4214,354,347,140,192,73,3675,365,543,194,63,61,60,62,420,149,17,18,2,4,0,19,15,18,66,62,0,19,0,19,66,62,151,110,0,19,0,19,151,110,125,64,5,8,11,16,109,61
0500000US47163,47163,"Sullivan County, Tennessee",65184,1068,4527,494,5245,615,55412,1188,56125,1054,3325,426,4394,518,48406,1121,5230,512,824,198,403,181,4003,403,140,75,28,34,35,42,77,54,455,138,114,65,70,56,271,125,1024,271,175,102,177,107,672,192,2210,351,61,44,166,92,1983,341
0500000US47165,47165,"Sumner County, Tennessee",86052,1276,3721,524,4225,604,78106,1518,72215,1137,2752,418,3624,548,65839,1336,7268,688,708,258,271,123,6289,634,379,117,1,2,0,29,378,117,521,175,67,83,76,51,378,146,1230,316,36,34,145,94,1049,305,4439,450,157,83,109,58,4173,457
0500000US47167,47167,"Tipton County, Tennessee",27391,824,1778,384,1734,391,23879,927,23624,910,1407,297,1418,342,20799,962,2677,500,253,150,204,127,2220,449,85,81,0,29,0,29,85,81,164,94,10,10,68,77,86,60,267,112,43,67,3,5,221,108,574,171,65,49,41,41,468,159
0500000US47169,47169,"Trousdale County, Tennessee",3749,331,142,98,269,189,3338,374,2926,341,111,92,138,111,2677,383,597,214,14,20,125,134,458,185,3,6,0,17,0,17,3,6,40,43,12,19,0,17,28,34,0,17,0,17,0,17,0,17,183,136,5,8,6,10,172,134
0500000US47171,47171,"Unicoi County, Tennessee",6852,369,682,175,800,258,5370,471,5534,364,356,129,701,221,4477,417,631,182,113,77,16,21,502,160,53,61,17,20,0,19,36,60,104,60,39,34,10,12,55,46,225,124,113,99,0,19,112,90,305,142,44,52,73,76,188,107
0500000US47173,47173,"Union County, Tennessee",7112,382,688,176,568,188,5856,466,6072,411,629,176,493,176,4950,483,613,146,57,43,75,59,481,136,2,4,2,4,0,19,0,19,11,14,0,19,0,19,11,14,44,45,0,19,0,19,44,45,370,142,0,19,0,19,370,142
0500000US47175,47175,"Van Buren County, Tennessee",2222,183,274,91,221,86,1727,217,1850,179,221,78,198,82,1431,200,124,76,4,7,13,21,107,67,14,15,0,17,0,17,14,15,10,14,0,17,0,17,10,14,51,61,39,59,0,17,12,17,173,80,10,15,10,15,153,81
0500000US47177,47177,"Warren County, Tennessee",16867,569,1453,259,1905,311,13509,636,14248,610,1202,209,1528,313,11518,613,1680,355,100,89,238,116,1342,300,3,6,0,26,0,26,3,6,236,96,23,24,31,27,182,85,81,51,20,25,20,26,41,35,619,179,108,71,88,68,423,162
0500000US47179,47179,"Washington County, Tennessee",56640,1073,5399,796,4480,638,46761,1229,48710,1151,4292,668,3504,550,40914,1164,3736,473,460,188,266,143,3010,470,323,156,127,122,110,83,86,54,473,154,152,88,65,68,256,118,1226,386,267,206,381,249,578,209,2172,383,101,61,154,110,1917,355
0500000US47181,47181,"Wayne County, Tennessee",5765,303,440,135,557,167,4768,355,4746,315,331,124,414,120,4001,365,625,151,90,63,65,45,470,121,0,19,0,19,0,19,0,19,2,3,0,19,2,3,0,19,263,164,19,25,66,81,178,140,129,56,0,19,10,15,119,56
0500000US47183,47183,"Weakley County, Tennessee",13336,584,1286,245,1381,271,10669,537,11639,599,972,207,1094,225,9573,545,870,202,119,64,130,81,621,148,20,21,5,8,0,26,15,20,401,136,145,88,70,59,186,94,255,96,45,33,53,56,157,72,151,66,0,26,34,33,117,53
0500000US47185,47185,"White County, Tennessee",9726,551,658,167,1237,237,7831,630,8405,509,568,151,974,206,6863,577,881,234,16,18,208,133,657,168,0,23,0,23,0,23,0,23,134,64,19,27,44,45,71,54,106,90,0,23,0,23,106,90,200,87,55,46,11,17,134,70
0500000US47187,47187,"Williamson County, Tennessee",103722,1122,2489,435,2675,449,98558,1252,83896,1293,1919,389,2010,370,79967,1293,7811,689,261,117,425,178,7125,665,346,163,0,29,0,29,346,163,1056,307,61,57,0,29,995,294,1247,314,46,64,98,133,1103,280,9366,751,202,92,142,71,9022,742
0500000US47189,47189,"Wilson County, Tennessee",61843,1038,2330,442,2409,383,57104,1191,51675,1103,1851,371,1933,320,47891,1176,5396,565,333,160,294,181,4769,536,516,157,16,26,18,22,482,160,386,150,43,57,81,67,262,120,542,224,0,29,26,30,516,222,3328,430,87,74,57,59,3184,426
