GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37
0500000US47047,47047,"Fayette County, Tennessee",28528,81,3702,396,9762,432,8667,530,4233,407,2164,331,26494,322,3382,353,8950,427,8176,515,3897,366,2089,322,870,260,240,128,427,142,147,89,53,35,3,5,711,163,20,15,248,90,200,80,218,99,25,21,374,129,20,20,128,69,136,86,52,36,38,32,79,56,40,41,9,14,8,12,13,21,9,14
0500000US47049,47049,"Fentress County, Tennessee",12735,93,2855,307,5639,305,2747,330,936,186,558,152,11590,241,2676,302,5082,308,2459,325,835,178,538,153,543,168,108,67,290,147,118,67,27,25,0,19,381,148,48,43,178,98,130,69,24,27,1,4,213,131,15,17,89,75,40,35,50,59,19,22,8,14,8,14,0,19,0,19,0,19,0,19
0500000US47051,47051,"Franklin County, Tennessee",28183,137,4051,384,10860,524,7476,593,3446,423,2350,330,25156,559,3586,384,9668,572,6687,551,3098,381,2117,282,1492,466,270,138,627,278,396,187,127,85,72,59,902,237,53,37,341,133,280,115,155,90,73,53,592,204,101,61,224,124,113,89,66,52,88,62,41,49,41,49,0,26,0,26,0,26,0,26
0500000US47053,47053,"Gibson County, Tennessee",33168,163,5120,386,12678,584,9472,536,3751,415,2147,350,28893,533,4415,391,10994,579,8368,475,3232,390,1884,314,2933,508,421,178,1266,251,641,205,416,218,189,122,1001,255,236,102,271,108,376,176,73,58,45,59,307,130,48,36,116,77,84,67,30,40,29,32,34,31,0,26,31,30,3,5,0,26,0,26
0500000US47055,47055,"Giles County, Tennessee",20447,110,3148,343,9131,461,5148,342,1973,237,1047,202,18417,361,2834,333,8115,452,4686,330,1777,220,1005,200,1078,290,141,82,584,231,265,123,68,45,20,23,531,183,107,79,310,135,52,36,62,55,0,23,367,112,59,38,106,53,133,68,66,43,3,8,54,49,7,10,16,26,12,18,0,23,19,30
0500000US47057,47057,"Grainger County, Tennessee",16468,68,3156,332,7416,456,4070,378,1269,170,557,133,14948,325,3019,320,6639,454,3675,374,1137,176,478,130,465,180,78,48,271,153,61,32,55,50,0,23,556,168,54,47,276,142,166,79,20,26,40,28,456,181,5,6,221,132,152,91,39,47,39,50,43,52,0,23,9,16,16,27,18,30,0,23
0500000US47059,47059,"Greene County, Tennessee",49161,185,8438,758,21064,858,12301,764,4743,451,2615,323,43882,578,7458,654,18561,772,11072,733,4326,433,2465,291,3216,439,607,223,1595,310,744,174,192,102,78,74,1002,285,87,58,540,260,254,114,97,75,24,31,956,331,256,208,312,155,228,121,112,84,48,45,105,67,30,32,56,53,3,5,16,25,0,29
0500000US47061,47061,"Grundy County, Tennessee",9312,14,2493,262,3809,302,1988,247,647,141,375,207,8901,111,2425,262,3580,300,1905,240,629,138,362,207,195,64,51,35,89,40,42,30,0,19,13,19,175,96,10,18,116,75,35,29,14,16,0,19,41,34,7,12,24,24,6,9,4,6,0,19,0,19,0,19,0,19,0,19,0,19,0,19
0500000US47063,47063,"Hamblen County, Tennessee",43565,282,7850,648,17821,869,10739,717,4580,513,2575,392,39087,578,6986,625,16008,849,9545,671,4175,460,2373,384,2538,428,466,165,1147,291,690,231,161,95,74,58,1078,297,197,98,472,215,227,97,128,87,54,64,692,265,175,108,173,84,252,158,25,31,67,76,170,114,26,41,21,33,25,33,91,82,7,10
0500000US47065,47065,"Hamilton County, Tennessee",247228,101,28016,1243,68764,1831,75124,1597,48601,1482,26723,1133,219073,1456,23811,1135,62530,1789,66293,1526,43112,1390,23327,1021,17520,1155,3141,479,4183,511,5368,491,3111,410,1717,314,3173,462,193,80,619,196,1033,251,811,221,517,161,6672,782,608,204,1332,270,2353,361,1346,250,1033,260,790,241,263,190,100,71,77,52,221,103,129,85
